HCR 0000000080000000 
16384_L3_kind0_access0 0000000096000007 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L3_kind2_access0.ttbr0 00000000400a8000 
16384_L3_kind2_access0.ttbr1 0000000040098000 
16384_L3_kind2_access0.tcr 0000000040118011 
16384_L3_kind2_access0.va ffff800000000230 
16384_L3_kind2_access0.access 0000000000000000 
16384_L3_kind2_access0.table0 0000000040094000 
16384_L3_kind2_access0.value0 0000000000000000 
16384_L3_kind2_access0.table1 0000000040098000 
16384_L3_kind2_access0.value1 000000004009c003 
16384_L3_kind2_access0.table2 000000004009c000 
16384_L3_kind2_access0.value2 00000000400a0003 
16384_L3_kind2_access0.table3 00000000400a0000 
16384_L3_kind2_access0.value3 0000000000000401 
16384_L3_kind2_access0 0000000096000007 ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L2_kind3_access0.ttbr0 00000000400a8000 
16384_L2_kind3_access0.ttbr1 0000000040098000 
16384_L2_kind3_access0.tcr 0000000040118011 
16384_L2_kind3_access0.va ffff800000000230 
16384_L2_kind3_access0.access 0000000000000000 
16384_L2_kind3_access0.table0 0000000040094000 
16384_L2_kind3_access0.value0 0000000000000000 
16384_L2_kind3_access0.table1 0000000040098000 
16384_L2_kind3_access0.value1 000000004009c003 
16384_L2_kind3_access0.table2 000000004009c000 
16384_L2_kind3_access0.value2 0000000040000001 
16384_L2_kind3_access0.table3 00000000400a0000 
16384_L2_kind3_access0.value3 0000000000000000 
16384_L2_kind3_access0 000000009600000a ffff800000000230 0000000040080088 0000000000000001 ffff800000000230 0000000040080088 
16384_L2_kind4_access1.ttbr0 00000000400a8000 
16384_L2_kind4_access1.ttbr1 0000000040098000 
16384_L2_kind4_access1.tcr 0000000040118011 
16384_L2_kind4_access1.va ffff800000000230 
16384_L2_kind4_access1.access 0000000000000001 
16384_L2_kind4_access1.table0 0000000040094000 
16384_L2_kind4_access1.value0 0000000000000000 
16384_L2_kind4_access1.table1 0000000040098000 
16384_L2_kind4_access1.value1 000000004009c003 
16384_L2_kind4_access1.table2 000000004009c000 
16384_L2_kind4_access1.value2 0000000040000481 
16384_L2_kind4_access1.table3 00000000400a0000 
16384_L2_kind4_access1.value3 0000000000000000 
16384_L2_kind4_access1 000000009600004e ffff800000000230 0000000040080090 0000000000000001 ffff800000000230 0000000040080090 
16384_L2_kind5_access0.ttbr0 00000000400a8000 
16384_L2_kind5_access0.ttbr1 0000000040098000 
16384_L2_kind5_access0.tcr 0000000040118011 
16384_L2_kind5_access0.va ffff800000000230 
16384_L2_kind5_access0.access 0000000000000000 
16384_L2_kind5_access0.table0 0000000040094000 
